CMDLINE java nsquare
MEM 43.738281 1715853724.6480
MEM 43.738281 1715853724.7484
MEM 43.738281 1715853724.8488
MEM 43.738281 1715853724.9493
MEM 43.738281 1715853725.0497
MEM 43.738281 1715853725.1501
MEM 43.738281 1715853725.2505
MEM 43.738281 1715853725.3510
MEM 43.738281 1715853725.4514
MEM 43.738281 1715853725.5519
MEM 43.738281 1715853725.6524
MEM 43.738281 1715853725.7528
MEM 43.738281 1715853725.8533
MEM 43.738281 1715853725.9537
MEM 43.738281 1715853726.0542
MEM 43.738281 1715853726.1546
MEM 43.738281 1715853726.2551
MEM 43.738281 1715853726.3556
MEM 43.738281 1715853726.4561
MEM 43.738281 1715853726.5565
MEM 43.738281 1715853726.6570
MEM 43.738281 1715853726.7574
MEM 43.738281 1715853726.8578
MEM 43.738281 1715853726.9582
MEM 43.738281 1715853727.0587
MEM 43.738281 1715853727.1592
MEM 43.738281 1715853727.2597
MEM 43.738281 1715853727.3602
MEM 43.738281 1715853727.4607
MEM 43.738281 1715853727.5611
MEM 43.738281 1715853727.6616
MEM 43.738281 1715853727.7621
MEM 43.738281 1715853727.8626
MEM 43.738281 1715853727.9630
MEM 43.738281 1715853728.0635
MEM 43.738281 1715853728.1641
MEM 43.738281 1715853728.2646
MEM 43.738281 1715853728.3651
MEM 43.738281 1715853728.4683
MEM 43.738281 1715853728.5688
MEM 43.738281 1715853728.6694
MEM 43.738281 1715853728.7699
MEM 43.738281 1715853728.8704
MEM 43.738281 1715853728.9709
MEM 43.738281 1715853729.0714
MEM 43.738281 1715853729.1720
MEM 43.738281 1715853729.2724
MEM 43.738281 1715853729.3730
MEM 43.738281 1715853729.4735
MEM 43.738281 1715853729.5740
MEM 43.738281 1715853729.6745
MEM 43.738281 1715853729.7749
MEM 43.738281 1715853729.8754
MEM 43.738281 1715853729.9759
MEM 43.738281 1715853730.0763
MEM 43.738281 1715853730.1767
MEM 43.738281 1715853730.2770
MEM 43.738281 1715853730.3774
MEM 43.738281 1715853730.4778
MEM 43.738281 1715853730.5782
MEM 43.738281 1715853730.6787
MEM 43.738281 1715853730.7791
MEM 43.738281 1715853730.8795
MEM 43.738281 1715853730.9798
MEM 43.738281 1715853731.0802
MEM 43.738281 1715853731.1805
MEM 43.738281 1715853731.2809
MEM 43.738281 1715853731.3812
MEM 43.738281 1715853731.4816
MEM 43.738281 1715853731.5820
MEM 43.738281 1715853731.6824
MEM 43.738281 1715853731.7828
MEM 43.738281 1715853731.8831
MEM 43.738281 1715853731.9835
MEM 43.738281 1715853732.0839
MEM 43.738281 1715853732.1843
MEM 43.738281 1715853732.2847
MEM 43.738281 1715853732.3851
MEM 43.738281 1715853732.4855
MEM 43.738281 1715853732.5859
MEM 43.738281 1715853732.6863
MEM 43.738281 1715853732.7867
MEM 43.738281 1715853732.8871
MEM 43.738281 1715853732.9875
MEM 43.738281 1715853733.0879
MEM 43.738281 1715853733.1884
MEM 43.738281 1715853733.2888
MEM 43.738281 1715853733.3892
MEM 43.738281 1715853733.4896
MEM 43.738281 1715853733.5926
MEM 43.738281 1715853733.6929
MEM 43.738281 1715853733.7933
MEM 43.738281 1715853733.8936
MEM 43.738281 1715853733.9940
MEM 43.738281 1715853734.0944
MEM 43.738281 1715853734.1948
MEM 43.738281 1715853734.2953
MEM 43.738281 1715853734.3957
MEM 43.738281 1715853734.4961
MEM 43.738281 1715853734.5965
MEM 43.738281 1715853734.6968
MEM 43.738281 1715853734.7972
MEM 43.738281 1715853734.8978
MEM 43.738281 1715853734.9982
MEM 43.738281 1715853735.0987
MEM 43.738281 1715853735.1992
MEM 43.738281 1715853735.2996
MEM 43.738281 1715853735.4002
MEM 43.738281 1715853735.5006
MEM 43.738281 1715853735.6011
MEM 43.738281 1715853735.7014
MEM 43.738281 1715853735.8018
MEM 43.738281 1715853735.9021
MEM 43.738281 1715853736.0025
MEM 43.738281 1715853736.1028
MEM 43.738281 1715853736.2031
MEM 43.738281 1715853736.3034
MEM 43.738281 1715853736.4038
MEM 43.738281 1715853736.5041
MEM 43.738281 1715853736.6044
MEM 43.738281 1715853736.7047
MEM 43.738281 1715853736.8051
MEM 43.738281 1715853736.9054
MEM 43.738281 1715853737.0057
MEM 43.738281 1715853737.1061
MEM 43.738281 1715853737.2064
MEM 43.738281 1715853737.3067
MEM 43.738281 1715853737.4072
MEM 43.738281 1715853737.5075
MEM 43.738281 1715853737.6079
MEM 43.738281 1715853737.7087
MEM 43.738281 1715853737.8091
MEM 43.738281 1715853737.9094
MEM 43.738281 1715853738.0098
MEM 43.738281 1715853738.1101
MEM 43.738281 1715853738.2106
MEM 43.738281 1715853738.3110
MEM 43.738281 1715853738.4115
MEM 43.738281 1715853738.5119
MEM 43.738281 1715853738.6124
MEM 43.738281 1715853738.7154
MEM 43.738281 1715853738.8158
MEM 43.738281 1715853738.9162
MEM 43.738281 1715853739.0166
MEM 43.738281 1715853739.1169
MEM 43.738281 1715853739.2173
MEM 43.738281 1715853739.3177
MEM 43.738281 1715853739.4180
MEM 43.738281 1715853739.5185
MEM 43.738281 1715853739.6188
MEM 43.738281 1715853739.7192
MEM 43.738281 1715853739.8195
MEM 43.738281 1715853739.9199
MEM 43.738281 1715853740.0202
MEM 43.738281 1715853740.1206
MEM 43.738281 1715853740.2210
MEM 43.738281 1715853740.3213
MEM 43.738281 1715853740.4217
MEM 43.738281 1715853740.5221
MEM 43.738281 1715853740.6224
MEM 43.738281 1715853740.7228
MEM 43.738281 1715853740.8231
MEM 43.738281 1715853740.9235
MEM 43.738281 1715853741.0238
MEM 43.738281 1715853741.1241
MEM 43.738281 1715853741.2244
MEM 43.738281 1715853741.3247
MEM 43.738281 1715853741.4250
MEM 43.738281 1715853741.5254
MEM 43.738281 1715853741.6259
MEM 43.738281 1715853741.7263
MEM 43.738281 1715853741.8267
MEM 43.738281 1715853741.9271
MEM 43.738281 1715853742.0275
MEM 43.738281 1715853742.1280
MEM 43.738281 1715853742.2283
MEM 43.738281 1715853742.3287
MEM 43.738281 1715853742.4290
MEM 43.738281 1715853742.5293
MEM 43.738281 1715853742.6297
MEM 43.738281 1715853742.7301
MEM 43.738281 1715853742.8304
MEM 43.738281 1715853742.9308
MEM 43.738281 1715853743.0313
MEM 43.738281 1715853743.1317
MEM 43.738281 1715853743.2321
MEM 43.738281 1715853743.3325
MEM 43.738281 1715853743.4329
MEM 43.738281 1715853743.5332
MEM 43.738281 1715853743.6336
MEM 43.738281 1715853743.7341
MEM 43.738281 1715853743.8373
MEM 43.738281 1715853743.9378
MEM 43.738281 1715853744.0383
MEM 43.738281 1715853744.1388
MEM 43.738281 1715853744.2393
MEM 43.738281 1715853744.3397
MEM 43.738281 1715853744.4402
MEM 43.738281 1715853744.5407
MEM 43.738281 1715853744.6412
MEM 43.738281 1715853744.7416
MEM 43.738281 1715853744.8421
MEM 43.738281 1715853744.9426
MEM 43.738281 1715853745.0431
MEM 43.738281 1715853745.1436
MEM 43.738281 1715853745.2442
MEM 43.738281 1715853745.3447
