x,one,logn,n,nlogn,nsquare
360,0.000000081,0.000001763,0.000016011,0.000122000,0.003592517
361,0.000000077,0.000001957,0.000015946,0.000125000,0.003796467
362,0.000000097,0.000001832,0.000025446,0.000126000,0.003629366
363,0.000000101,0.000001807,0.000016022,0.000126000,0.003600094
364,0.000000082,0.000001963,0.000016021,0.000125000,0.003648845
365,0.000000086,0.000001948,0.000016712,0.000132000,0.003736737
366,0.000000082,0.000001881,0.000016420,0.000122000,0.003592048
367,0.000000081,0.000001848,0.000016195,0.000126000,0.003799861
368,0.000000085,0.000001892,0.000016504,0.000127000,0.003676852
369,0.000000084,0.000001809,0.000016449,0.000122000,0.003716226
370,0.000000081,0.000001772,0.000018860,0.000124000,0.003659075
371,0.000000087,0.000001794,0.000015790,0.000124000,0.003681343
372,0.000000081,0.000001988,0.000015925,0.000125000,0.003635935
373,0.000000081,0.000002212,0.000015843,0.000128000,0.003600724
374,0.000000083,0.000001800,0.000016178,0.000121000,0.003681034
375,0.000000082,0.000001633,0.000016472,0.000125000,0.003577212
376,0.000000081,0.000001845,0.000016038,0.000123000,0.003699185
377,0.000000081,0.000001719,0.000016299,0.000124000,0.003646678
378,0.000000082,0.000001783,0.000016039,0.000127000,0.003902068
379,0.000000081,0.000001800,0.000016349,0.000127000,0.003792892
380,0.000000082,0.000001825,0.000016770,0.000123000,0.003647811
381,0.000000084,0.000001795,0.000016309,0.000124000,0.003646172
382,0.000000084,0.000001832,0.000016179,0.000123000,0.003712335
383,0.000000085,0.000001825,0.000017105,0.000129000,0.003659898
384,0.000000085,0.000001691,0.000015928,0.000124000,0.003687188
385,0.000000083,0.000001736,0.000018030,0.000127000,0.003668805
386,0.000000088,0.000001924,0.000016221,0.000129000,0.003726203
387,0.000000087,0.000001703,0.000029539,0.000127000,0.003883804
388,0.000000084,0.000001751,0.000028613,0.000125000,0.003663206
389,0.000000079,0.000001951,0.000016635,0.000129000,0.003859522
390,0.000000097,0.000001923,0.000016387,0.000123000,0.003551112
