CMDLINE python3 nlogn.py
MEM 400.988281 1715786403.5425
MEM 400.988281 1715786403.6430
MEM 400.988281 1715786403.7433
MEM 400.988281 1715786403.8439
MEM 400.988281 1715786403.9445
MEM 400.988281 1715786404.0450
MEM 400.988281 1715786404.1454
MEM 400.988281 1715786404.2459
MEM 400.988281 1715786404.3464
MEM 400.988281 1715786404.4469
MEM 400.988281 1715786404.5474
MEM 400.988281 1715786404.6479
MEM 400.988281 1715786404.7482
MEM 400.988281 1715786404.8487
MEM 400.988281 1715786404.9492
MEM 400.988281 1715786405.0496
MEM 400.988281 1715786405.1501
MEM 400.988281 1715786405.2506
MEM 400.988281 1715786405.3510
MEM 400.988281 1715786405.4515
MEM 400.988281 1715786405.5519
MEM 400.988281 1715786405.6525
MEM 400.988281 1715786405.7530
MEM 400.988281 1715786405.8535
MEM 400.988281 1715786405.9540
MEM 400.988281 1715786406.0544
MEM 400.988281 1715786406.1549
MEM 400.988281 1715786406.2553
MEM 400.988281 1715786406.3558
MEM 400.988281 1715786406.4563
MEM 400.988281 1715786406.5568
MEM 400.988281 1715786406.6573
MEM 400.988281 1715786406.7578
MEM 400.988281 1715786406.8583
MEM 400.988281 1715786406.9588
MEM 400.988281 1715786407.0593
MEM 400.988281 1715786407.1598
MEM 400.988281 1715786407.2601
MEM 400.988281 1715786407.3605
MEM 400.988281 1715786407.4610
MEM 400.988281 1715786407.5615
MEM 400.988281 1715786407.6619
MEM 410.488281 1715786407.7624
MEM 410.488281 1715786407.8629
MEM 410.488281 1715786407.9633
MEM 410.488281 1715786408.0638
MEM 410.488281 1715786408.1642
MEM 410.488281 1715786408.2647
MEM 410.488281 1715786408.3652
MEM 410.488281 1715786408.4657
MEM 410.488281 1715786408.5661
MEM 410.488281 1715786408.6667
MEM 410.488281 1715786408.7671
MEM 410.488281 1715786408.8676
MEM 410.488281 1715786408.9681
MEM 410.488281 1715786409.0686
MEM 410.488281 1715786409.1691
MEM 410.488281 1715786409.2695
MEM 410.488281 1715786409.3699
MEM 410.488281 1715786409.4703
MEM 410.488281 1715786409.5708
MEM 410.488281 1715786409.6713
MEM 410.488281 1715786409.7718
MEM 410.488281 1715786409.8723
MEM 410.488281 1715786409.9728
MEM 410.488281 1715786410.0732
MEM 410.488281 1715786410.1738
MEM 410.488281 1715786410.2741
MEM 410.488281 1715786410.3745
MEM 410.488281 1715786410.4750
MEM 410.488281 1715786410.5754
MEM 410.488281 1715786410.6758
MEM 410.488281 1715786410.7762
MEM 410.488281 1715786410.8766
MEM 410.488281 1715786410.9770
MEM 410.488281 1715786411.0774
MEM 410.488281 1715786411.1778
MEM 410.488281 1715786411.2783
MEM 410.488281 1715786411.3787
MEM 410.488281 1715786411.4792
MEM 410.488281 1715786411.5797
MEM 410.488281 1715786411.6802
MEM 410.488281 1715786411.7807
MEM 410.488281 1715786411.8812
MEM 410.488281 1715786411.9816
MEM 410.488281 1715786412.0821
MEM 410.488281 1715786412.1826
MEM 410.488281 1715786412.2833
MEM 410.488281 1715786412.3838
MEM 410.488281 1715786412.4843
MEM 410.488281 1715786412.5849
MEM 410.488281 1715786412.6853
MEM 410.488281 1715786412.7858
MEM 410.488281 1715786412.8863
MEM 410.488281 1715786412.9868
MEM 410.488281 1715786413.0873
MEM 410.488281 1715786413.1878
MEM 410.488281 1715786413.2884
MEM 410.488281 1715786413.3889
MEM 410.488281 1715786413.4894
MEM 410.488281 1715786413.5899
MEM 410.488281 1715786413.6904
MEM 410.488281 1715786413.7909
MEM 410.488281 1715786413.8914
MEM 410.488281 1715786413.9919
MEM 410.488281 1715786414.0923
