n,times
1186,0.06702528
1187,0.05090407
1188,0.05105250
1189,0.05221525
1190,0.05139961
1191,0.05122515
1192,0.05237935
1193,0.05099285
1194,0.05227870
1195,0.05171369
1196,0.05392422
1197,0.05293813
1198,0.05213452
1199,0.05266962
1200,0.05251430
1201,0.05271718
1202,0.05128672
1203,0.05212476
1204,0.05349704
1205,0.05363184
1206,0.05274691
1207,0.05367935
1208,0.05472730
1209,0.05421512
1210,0.05335047
1211,0.05393680
1212,0.05515714
1213,0.05395925
1214,0.07864892
1215,0.05352452
1216,0.05440627
1217,0.05384082
1218,0.05430081
1219,0.09279501
1220,0.06099439
1221,0.05273758
1222,0.05173385
1223,0.05338657
1224,0.05378302
1225,0.05331094
1226,0.08727048
1227,0.05323814
1228,0.05439018
1229,0.05458129
1230,0.05594831
1231,0.05577186
1232,0.05579149
1233,0.05524809
1234,0.05739872
1235,0.05670609
1236,0.05560457
1237,0.05566046
1238,0.05613207
1239,0.05646350
1240,0.05640476
1241,0.05549443
1242,0.05804554
1243,0.05678130
1244,0.05617143
1245,0.05641692
1246,0.05827950
1247,0.05613954
1248,0.05697056
1249,0.05586248
1250,0.05710078
1251,0.05787922
1252,0.05766575
1253,0.05842556
1254,0.05802856
1255,0.05719214
1256,0.05843085
1257,0.07361359
1258,0.05805836
1259,0.05816423
1260,0.05851679
1261,0.07912236
1262,0.05860635
1263,0.05762164
1264,0.05875271
1265,0.06010103
1266,0.06014111
1267,0.05915503
1268,0.09808851
1269,0.05807979
1270,0.05691803
1271,0.05789888
1272,0.05748196
1273,0.05835239
1274,0.05858197
1275,0.05784301
1276,0.05896397
1277,0.06643303
1278,0.05847441
1279,0.05929854
1280,0.05879791
1281,0.06037228
1282,0.05835273
1283,0.05920445
1284,0.05924367
1285,0.06757888
1286,0.05817648
1287,0.05915811
1288,0.05912921
1289,0.05955803
1290,0.05935142
1291,0.06627338
1292,0.05929225
1293,0.07143719
1294,0.06028505
1295,0.06071328
1296,0.06028990
1297,0.05982260
1298,0.06064339
1299,0.06798873
1300,0.05969992
1301,0.06030320
1302,0.06089785
1303,0.06986738
1304,0.06059228
1305,0.06299267
1306,0.11374055
1307,0.20223148
1308,0.07642646
1309,0.10611982
1310,0.07854632
1311,0.06239494
1312,0.06120576
1313,0.06251383
1314,0.06241626
1315,0.06298298
1316,0.06288573
1317,0.06241778
1318,0.06214208
1319,0.06277682
1320,0.06423946
1321,0.09605342
1322,0.06310660
1323,0.06438715
1324,0.06370034
1325,0.06312866
1326,0.06339748
1327,0.06344452
1328,0.07090573
1329,0.06403761
1330,0.06527811
1331,0.06368624
1332,0.06500979
1333,0.06448272
1334,0.06598284
1335,0.15101239
1336,0.06340575
1337,0.06432353
1338,0.06426032
1339,0.06401017
1340,0.06460723
1341,0.06435442
1342,0.06525959
1343,0.06544445
1344,0.06629965
1345,0.06579990
1346,0.06633215
1347,0.06516910
1348,0.06691589
1349,0.06570044
1350,0.06610070
1351,0.06637534
1352,0.06564907
1353,0.09501822
1354,0.15532478
1355,0.10760251
1356,0.06793267
1357,0.06733127
1358,0.06865413
1359,0.06910584
1360,0.06831206
1361,0.06883973
1362,0.11710459
1363,0.06695578
1364,0.06887778
1365,0.06968927
1366,0.06950479
1367,0.07157598
1368,0.06929069
1369,0.06922345
1370,0.10377290
1371,0.13316040
1372,0.06830604
1373,0.07065582
1374,0.07016213
1375,0.07050012
1376,0.07076520
1377,0.07137323
1378,0.07038166
1379,0.07091048
1380,0.07107241
1381,0.07129549
1382,0.07166287
1383,0.07129347
1384,0.07202577
1385,0.07160935
1386,0.07219345
1387,0.07367555
1388,0.07287865
1389,0.07201712
1390,0.07252607
1391,0.07318626
1392,0.07247937
1393,0.07158370
1394,0.07305239
1395,0.07245852
1396,0.07357080
1397,0.07297951
1398,0.19714357
1399,0.22925543
1400,0.24464207
1401,0.26812754
1402,0.24710777
1403,0.10141631
1404,0.14013342
1405,0.09107680
1406,0.08892658
1407,0.09803532
1408,0.10617906
1409,0.10990762
1410,0.09172674
1411,0.08818340
1412,0.09075953
1413,0.11893580
1414,0.10939710
1415,0.09225284
1416,0.09355253
1417,0.10056726
1418,0.09045440
1419,0.09080163
1420,0.10232579
1421,0.10082426
1422,0.11000272
1423,0.10113283
1424,0.09029857
1425,0.09927447
1426,0.10028588
1427,0.10818709
1428,0.11235598
1429,0.09593380
1430,0.10099532
1431,0.11115502
1432,0.10398025
1433,0.10754083
1434,0.10363045
1435,0.09359438
1436,0.09311982
1437,0.11790789
1438,0.09520599
1439,0.09265063
1440,0.09856087
1441,0.10029087
1442,0.11206701
