CMDLINE python3 nsquare.py
MEM 20.625000 1715787021.7857
MEM 20.625000 1715787021.8861
MEM 20.625000 1715787021.9865
MEM 20.625000 1715787022.0868
MEM 20.625000 1715787022.1872
MEM 20.625000 1715787022.2876
MEM 20.625000 1715787022.3879
MEM 20.625000 1715787022.4883
MEM 20.625000 1715787022.5887
MEM 20.625000 1715787022.6889
MEM 20.625000 1715787022.7893
MEM 20.625000 1715787022.8897
MEM 20.625000 1715787022.9901
MEM 20.625000 1715787023.0905
MEM 20.625000 1715787023.1909
MEM 20.625000 1715787023.2912
MEM 20.625000 1715787023.3915
MEM 20.625000 1715787023.4919
MEM 20.625000 1715787023.5923
MEM 20.625000 1715787023.6926
MEM 20.625000 1715787023.7928
MEM 20.625000 1715787023.8931
MEM 20.625000 1715787023.9936
MEM 20.625000 1715787024.0940
MEM 20.625000 1715787024.1944
MEM 20.625000 1715787024.2947
MEM 20.625000 1715787024.3951
MEM 20.625000 1715787024.4955
MEM 20.625000 1715787024.5959
MEM 20.625000 1715787024.6963
MEM 20.625000 1715787024.7967
MEM 20.625000 1715787024.8969
MEM 20.625000 1715787024.9973
MEM 20.625000 1715787025.0977
MEM 20.625000 1715787025.1981
MEM 20.625000 1715787025.2984
MEM 20.625000 1715787025.3986
MEM 20.625000 1715787025.4990
MEM 20.625000 1715787025.5993
MEM 20.625000 1715787025.6996
MEM 20.625000 1715787025.8000
MEM 20.625000 1715787025.9031
MEM 20.625000 1715787026.0036
MEM 20.625000 1715787026.1039
MEM 20.625000 1715787026.2043
MEM 20.625000 1715787026.3047
MEM 20.625000 1715787026.4051
MEM 20.625000 1715787026.5055
MEM 20.625000 1715787026.6058
MEM 20.625000 1715787026.7062
MEM 20.625000 1715787026.8065
MEM 20.625000 1715787026.9069
MEM 20.625000 1715787027.0073
MEM 20.625000 1715787027.1077
MEM 20.625000 1715787027.2080
MEM 20.625000 1715787027.3083
MEM 20.625000 1715787027.4086
MEM 20.625000 1715787027.5089
MEM 20.625000 1715787027.6093
MEM 20.625000 1715787027.7096
MEM 20.625000 1715787027.8099
MEM 20.625000 1715787027.9101
