CMDLINE ./nsquare
MEM 4.199219 1715786815.2351
MEM 4.199219 1715786815.3355
MEM 4.199219 1715786815.4358
MEM 4.199219 1715786815.5362
MEM 4.199219 1715786815.6364
MEM 4.199219 1715786815.7367
MEM 4.199219 1715786815.8370
MEM 4.199219 1715786815.9374
MEM 4.199219 1715786816.0376
MEM 4.199219 1715786816.1379
MEM 4.199219 1715786816.2382
MEM 4.199219 1715786816.3386
MEM 4.199219 1715786816.4389
MEM 4.199219 1715786816.5392
MEM 4.199219 1715786816.6394
MEM 4.199219 1715786816.7398
MEM 4.199219 1715786816.8402
MEM 4.199219 1715786816.9405
MEM 4.199219 1715786817.0408
MEM 4.199219 1715786817.1411
MEM 4.199219 1715786817.2414
MEM 4.199219 1715786817.3417
MEM 4.199219 1715786817.4420
MEM 4.199219 1715786817.5423
MEM 4.199219 1715786817.6425
MEM 4.199219 1715786817.7428
MEM 4.199219 1715786817.8432
MEM 4.199219 1715786817.9435
MEM 4.199219 1715786818.0438
MEM 4.199219 1715786818.1440
MEM 4.199219 1715786818.2443
MEM 4.199219 1715786818.3447
MEM 4.199219 1715786818.4449
MEM 4.199219 1715786818.5725
MEM 4.199219 1715786818.6729
MEM 4.199219 1715786818.7731
MEM 4.199219 1715786818.8735
MEM 4.199219 1715786818.9738
MEM 4.199219 1715786819.0740
MEM 4.199219 1715786819.1745
MEM 4.199219 1715786819.2748
MEM 4.199219 1715786819.3752
MEM 4.199219 1715786819.4755
MEM 4.199219 1715786819.5758
MEM 4.199219 1715786819.6761
MEM 4.199219 1715786819.7764
MEM 4.199219 1715786819.8767
MEM 4.199219 1715786819.9771
MEM 4.199219 1715786820.0774
MEM 4.199219 1715786820.1777
MEM 4.199219 1715786820.2779
MEM 4.199219 1715786820.3782
MEM 4.199219 1715786820.4785
MEM 4.199219 1715786820.5788
MEM 4.199219 1715786820.6792
MEM 4.199219 1715786820.7794
MEM 4.199219 1715786820.8797
MEM 4.199219 1715786820.9800
MEM 4.199219 1715786821.0803
MEM 4.199219 1715786821.1806
MEM 4.199219 1715786821.2810
MEM 4.199219 1715786821.3813
MEM 4.199219 1715786821.4815
MEM 4.199219 1715786821.5818
MEM 4.199219 1715786821.6820
MEM 4.199219 1715786821.7823
MEM 4.199219 1715786821.8825
MEM 4.199219 1715786821.9828
MEM 4.199219 1715786822.0831
MEM 4.199219 1715786822.1833
MEM 4.199219 1715786822.2836
MEM 4.199219 1715786822.3839
MEM 4.199219 1715786822.4842
MEM 4.199219 1715786822.5845
MEM 4.199219 1715786822.6848
MEM 4.199219 1715786822.7850
MEM 4.199219 1715786822.8853
MEM 4.199219 1715786822.9856
MEM 4.199219 1715786823.0858
MEM 4.199219 1715786823.1861
MEM 4.199219 1715786823.2864
MEM 4.199219 1715786823.3866
MEM 4.199219 1715786823.4868
MEM 4.199219 1715786823.5871
MEM 4.199219 1715786823.6875
MEM 4.199219 1715786823.7881
MEM 4.199219 1715786823.8885
MEM 4.199219 1715786823.9889
MEM 4.199219 1715786824.0892
MEM 4.199219 1715786824.1895
MEM 4.199219 1715786824.2898
MEM 4.199219 1715786824.3901
MEM 4.199219 1715786824.4904
MEM 4.199219 1715786824.5908
MEM 4.199219 1715786824.6910
MEM 4.199219 1715786824.7913
MEM 4.199219 1715786824.8915
MEM 4.199219 1715786824.9918
MEM 4.199219 1715786825.0922
MEM 4.199219 1715786825.1925
MEM 4.199219 1715786825.2928
MEM 4.199219 1715786825.3931
MEM 4.199219 1715786825.4934
MEM 4.199219 1715786825.5936
MEM 4.199219 1715786825.6939
MEM 4.199219 1715786825.7943
MEM 4.199219 1715786825.8946
MEM 4.199219 1715786825.9949
MEM 4.199219 1715786826.0952
MEM 4.199219 1715786826.1954
MEM 4.199219 1715786826.2958
MEM 4.199219 1715786826.3960
MEM 4.199219 1715786826.4963
MEM 4.199219 1715786826.5966
MEM 4.199219 1715786826.6968
MEM 4.199219 1715786826.7970
MEM 4.199219 1715786826.8973
MEM 4.199219 1715786826.9976
MEM 4.199219 1715786827.0979
MEM 4.199219 1715786827.1982
MEM 4.199219 1715786827.2985
MEM 4.199219 1715786827.3988
MEM 4.199219 1715786827.4991
MEM 4.199219 1715786827.5993
MEM 4.199219 1715786827.6995
MEM 4.199219 1715786827.7997
MEM 4.199219 1715786827.9000
MEM 4.199219 1715786828.0003
MEM 4.199219 1715786828.1006
MEM 4.199219 1715786828.2009
MEM 4.199219 1715786828.3012
MEM 4.199219 1715786828.4015
MEM 4.199219 1715786828.5017
MEM 4.199219 1715786828.6020
MEM 4.199219 1715786828.7023
MEM 4.199219 1715786828.8053
MEM 4.199219 1715786828.9057
MEM 4.199219 1715786829.0060
MEM 4.199219 1715786829.1063
MEM 4.199219 1715786829.2066
MEM 4.199219 1715786829.3070
MEM 4.199219 1715786829.4074
MEM 4.199219 1715786829.5077
MEM 4.199219 1715786829.6080
MEM 4.199219 1715786829.7083
MEM 4.199219 1715786829.8086
MEM 4.199219 1715786829.9089
MEM 4.199219 1715786830.0092
MEM 4.199219 1715786830.1095
MEM 4.199219 1715786830.2097
MEM 4.199219 1715786830.3101
MEM 4.199219 1715786830.4104
MEM 4.199219 1715786830.5107
MEM 4.199219 1715786830.6109
MEM 4.199219 1715786830.7112
MEM 4.199219 1715786830.8116
MEM 4.199219 1715786830.9120
MEM 4.199219 1715786831.0123
MEM 4.199219 1715786831.1125
MEM 4.199219 1715786831.2127
MEM 4.199219 1715786831.3130
MEM 4.199219 1715786831.4133
MEM 4.199219 1715786831.5134
MEM 4.199219 1715786831.6136
MEM 4.199219 1715786831.7138
MEM 4.199219 1715786831.8141
MEM 4.199219 1715786831.9143
MEM 4.199219 1715786832.0145
MEM 4.199219 1715786832.1147
MEM 4.199219 1715786832.2149
MEM 4.199219 1715786832.3151
MEM 4.199219 1715786832.4153
MEM 4.199219 1715786832.5155
MEM 4.199219 1715786832.6157
MEM 4.199219 1715786832.7158
MEM 4.199219 1715786832.8161
MEM 4.199219 1715786832.9163
MEM 4.199219 1715786833.0165
MEM 4.199219 1715786833.1167
MEM 4.199219 1715786833.2169
MEM 4.199219 1715786833.3172
MEM 4.199219 1715786833.4175
MEM 4.199219 1715786833.5176
MEM 4.199219 1715786833.6179
MEM 4.199219 1715786833.7181
MEM 4.199219 1715786833.8184
MEM 4.199219 1715786833.9215
MEM 4.199219 1715786834.0217
MEM 4.199219 1715786834.1220
MEM 4.199219 1715786834.2223
